source	source.label	source.image	target	target.label	target.image
Francis Drake	Q36517		Carolus Clusius	Q333372	
Gian Vincenzo Pinelli	Q2090833		Carolus Clusius	Q333372	
Justus Lipsius	Q315871		Carolus Clusius	Q333372	
Marie de Brimeu	Q3292880		Carolus Clusius	Q333372	
Johannes Crato von Krafftheim	Q87688		Carolus Clusius	Q333372	
Jean-Baptiste Boisot	Q3163893		Carolus Clusius	Q333372	
Joachim Camerarius the Younger	Q71261		Carolus Clusius	Q333372	
Nicolas-Claude Fabri de Peiresc	Q440183		Carolus Clusius	Q333372	
Giacomo Antonio Cortuso	Q356009	https://www.inomidellepiante.org/uploads/6/4/0/0/64007451/1992438.jpg	Carolus Clusius	Q333372	
William IV, Landgrave of Hesse-Kassel	Q696040		Carolus Clusius	Q333372	
Ulisse Aldrovandi 	Q321358		Carolus Clusius	Q333372	
Philips of Marnix	Q701605		Carolus Clusius	Q333372	
Henry Wotton 	Q641028		Carolus Clusius	Q333372	
Ludwig Camerarius	Q1258320		Carolus Clusius	Q333372	
Jan Gruter	Q64263		Carolus Clusius	Q333372	
Caspar Peucer	Q159632		Carolus Clusius	Q333372	
Markus Welser 	Q91389		Carolus Clusius	Q333372	
Fabio Colonna	Q1390516		Carolus Clusius	Q333372	
Paulus Melissus 	Q882363		Carolus Clusius	Q333372	
Philippe-Charles, 3rd Count of Arenberg	Q557419		Carolus Clusius	Q333372	
Jean-Jacques Boissard	Q714988		Carolus Clusius	Q333372	
Ogier Ghiselin de Busbecq 	Q647633		Carolus Clusius	Q333372	
James and Pieter Garet		https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Male_head_silhouette.svg/240px-Male_head_silhouette.svg.png	Carolus Clusius	Q333372	
Ferrante Imperato	Q3069650		Carolus Clusius	Q333372	
Giovanni Pona	Q41617616		Carolus Clusius	Q333372	
Raphael Thorius	Q16863799		Carolus Clusius	Q333372	
Leunclavius	Q96077		Carolus Clusius	Q333372	
Matthias de l'Obel	Q1860320		Carolus Clusius	Q333372	
Rembert Dodoens	Q437466		Carolus Clusius	Q333372	
Joseph Goedenhuyze	Q49612155		Carolus Clusius	Q333372	
Christophe Plantin 	Q380360		Carolus Clusius	Q333372
