source	source.label	source.image	target	target.label	target.image
Q36517	Francis Drake		Q333372	Carolus Clusius	
Q2090833	Gian Vincenzo Pinelli		Q333372	Carolus Clusius	
Q315871	Justus Lipsius		Q333372	Carolus Clusius	
Q3292880	Marie de Brimeu		Q333372	Carolus Clusius	
Q87688	Johannes Crato von Krafftheim		Q333372	Carolus Clusius	
Q3163893	Jean-Baptiste Boisot		Q333372	Carolus Clusius	
Q71261	Joachim Camerarius II		Q333372	Carolus Clusius	
Q356009	Giacomo Antonio Cortuso	https://www.inomidellepiante.org/uploads/6/4/0/0/64007451/1992438.jpg	Q333372	Carolus Clusius	
Q696040	William IV		Q333372	Carolus Clusius	
Q321358	Ulisse Aldrovandi 		Q333372	Carolus Clusius	
Q641028	Henry Wotton 		Q333372	Carolus Clusius	
Q1258320	Ludwig Camerarius		Q333372	Carolus Clusius	
Q64263	Jan Gruter		Q333372	Carolus Clusius	
Q159632	Caspar Peucer		Q333372	Carolus Clusius	
Q91389	Markus Welser 		Q333372	Carolus Clusius	
Q1390516	Fabio Colonna		Q333372	Carolus Clusius	
Q882363	Paulus Melissus 		Q333372	Carolus Clusius	
Q714988	Jean-Jacques Boissard		Q333372	Carolus Clusius	
Q647633	Ogier Ghiselin de Busbecq 		Q333372	Carolus Clusius	
	James and Pieter Garet	https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Male_head_silhouette.svg/240px-Male_head_silhouette.svg.png	Q333372	Carolus Clusius	
Q3069650	Ferrante Imperato		Q333372	Carolus Clusius	
Q41617616	Giovanni Pona		Q333372	Carolus Clusius	
Q16863799	Raphael Thorius		Q333372	Carolus Clusius	
Q96077	Leunclavius		Q333372	Carolus Clusius	
Q1860320	Matthias de l'Obel		Q333372	Carolus Clusius	
Q437466	Rembert Dodoens		Q333372	Carolus Clusius	
Q49612155	Joseph Goedenhuyze		Q333372	Carolus Clusius	
Q380360	Christophe Plantin 		Q333372	Carolus Clusius	
