source	source.label	target	target.label	edge
Q1043	Carl Linnaeus 	Q11917246	Dionaea muscipula	classified
Q1043	Carl Linnaeus 	Q39789	Daniel Solander	received dried specimens from
Q1043	Carl Linnaeus 	Q934747	John Ellis 	received dried specimens from
Q1043	Carl Linnaeus 	Q34	SWEDEN	lived in
Q934747	John Ellis	Q21	ENGLAND	lived in 
Q934747	John Ellis	Q18783607	David Skene	corresponded with
Q934747	John Ellis	Q11917246	Dionaea muscipula	classified
Q1350818	Peter Collinson	Q11917246	Dionaea muscipula	observed
Q1350818	Peter Collinson	Q709129	Arthur Dobbs	corresponded with
Q1350818	Peter Collinson	Q528476	John Bartram	corresponded with
Q1350818	Peter Collinson	Q39789	Daniel Solander	corresponded with
Q1350818	Peter Collinson		James Gordon	nurseryman
Q1350818	Peter Collinson	Q21	ENGLAND	lived in
Q528476	John Bartram	Q1350818	Peter Collinson	corresponded with
Q528476	John Bartram	Q18243	William Bartram	father of
Q528476	John Bartram	Q21613321	William Young	rival of
Q528476	John Bartram	Q11917246	Dionaea muscipula	observed
Q528476	John Bartram	Q30	AMERICA	lived in 
