Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
QC,"Crops","351","China","5510","Production","693","Cinnamon (cannella)","tonnes","53500.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","41","China, mainland","5510","Production","693","Cinnamon (cannella)","tonnes","53500.96","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","45","Comoros","5510","Production","693","Cinnamon (cannella)","tonnes","10","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","55","Dominica","5510","Production","693","Cinnamon (cannella)","tonnes","53.04","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","86","Grenada","5510","Production","693","Cinnamon (cannella)","tonnes","71.23","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","101","Indonesia","5510","Production","693","Cinnamon (cannella)","tonnes","74733","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","129","Madagascar","5510","Production","693","Cinnamon (cannella)","tonnes","2091.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","193","Sao Tome and Principe","5510","Production","693","Cinnamon (cannella)","tonnes","59.27","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","196","Seychelles","5510","Production","693","Cinnamon (cannella)","tonnes","200.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","38","Sri Lanka","5510","Production","693","Cinnamon (cannella)","tonnes","15477.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","176","Timor-Leste","5510","Production","693","Cinnamon (cannella)","tonnes","96.12","A","Aggregate, may include official, semi-official, estimated or calculated data"
QC,"Crops","237","Viet Nam","5510","Production","693","Cinnamon (cannella)","tonnes","17394.88","A","Aggregate, may include official, semi-official, estimated or calculated data"
