Date	Location	QID
1889	Royal Botanic Gardens, Kew	Q18748726
1894	Land's Plantentuin Buitenzorg, Kebun Raya Bogor, Java, Indonesia	Q1123665
1901	Royal Botanic Gardens, Kew	Q18748726
1924	Land's Plantentuin Buitenzorg, Kebun Raya Bogor, Java, Indonesia	Q1123665
1926	Royal Botanic Gardens, Kew	Q18748726
1929	Royal Botanic Gardens, Kew	Q18748726
1929	Botanical Garden, Hamburg, Germany	Q11679872
1930	Botanical Garden, Hamburg, Germany	Q11679872
1932	Botanic Garden of Wageningen, Netherlands	Q1957821
1934	Land's Plantentuin Buitenzorg, Kebun Raya Bogor, Java, Indonesia	Q1123665
1935	Botanic Garden of Wageningen, Netherlands	Q1957821
1935	Bergianska trädgården, Stockholm, Sweden	Q819811
1936	Bern Botanical Garden, Switzerland	Q894639
1937	Botanical Garden, Bonn, Germany	Q322634
1937	New York Botanical Garden, New York City	Q636275
1939	New York Botanical Garden, New York City	Q636275
1939	Botanical Garden, Berlin, Germany	Q163255
1940	Botanical Garden, Bonn, Germany	Q163255
1956	Botanical Garden, Leiden, Netherlands	Q2468128
1980	Botanical Garden, Munich, Germany	Q707660
1985	Palmengarten, Frankfurt, Germany	Q319334
1987	Botanical Garden, Bonn, Germany	Q322634
1994	Botanical Garden, Mainz, Germany	Q871292
1994	Palmengarten, Frankfurt, Germany	Q319334
1994	Land's Plantentuin Buitenzorg, Kebun Raya Bogor, Java, Indonesia	Q1123665
1995	Botanical Garden, Leiden, Netherlands	Q2468128
1995	Land's Plantentuin Buitenzorg, Kebun Raya Bogor, Java, Indonesia	Q1123665
1996	Botanical Garden, Bonn, Germany	Q163255
1996	Botanical Garden, Bonn, Germany	Q163255
1996	Palmengarten, Frankfurt, Germany	Q319334
1996	Royal Botanic Gardens, Kew	Q18748726
1997	Land's Plantentuin Buitenzorg, Kebun Raya Bogor, Java, Indonesia	Q1123665
May 1, 1998	University of Missouri-St. Louis, United States	Q6884925
May 1–3, 1998	Botanical Garden, Bonn, Germany	Q163255
June 24, 1998	Fairchild Tropical Garden, Florida, United States	Q1923740
July 6, 1998	Atlanta Botanical Garden, Georgia, United States	Q2028223
May 21, 1999	Marie Selby Botanical Gardens	Q6763018
July 7, 1999	University of Washington, Seattle	Q219563
August 1, 1999	The Huntington Library, Art Collections, and Botanical Gardens	Q1400558
September 3, 1999	Fairchild Tropical Garden	Q1923740
July 7, 2000	Botanic Gardens, University of Bonn	Q152171
June 12, 2000	Atlanta Botanical Garden	Q2028223
June 13, 2000	Fullerton Arboretum, California State University, Fullerton	Q5508289
May 7, 2001	University of Washington, Seattle	Q219563
May 15, 2001	Fairchild Tropical Garden	Q1923740
May 1, 2001	Marie Selby Botanical Gardens	Q6763018
June 7, 2001	University of Wisconsin–Madison	Q838330
June 20, 2001	University of Missouri-St. Louis, United States	Q6884925
June 27, 2001	Fairchild Tropical Garden	Q1923740
June 24, 1905	Giardino dei Semplici, Florence, Italy	Q1875558
May 1, 2002	Royal Botanic Gardens, Kew	Q18748726
May 29, 2002	University of Washington, Seattle	Q219563
June 1, 2002	Royal Botanic Gardens, Kew	Q18748726
June 20, 2002	Royal Botanic Gardens, Kew	Q18748726
July 31, 2002	University of Wisconsin–Madison	Q838330
August 7, 2002	The Huntington Library, Art Collections, and Botanical Gardens, San Marino, CA	Q1400558
Mid-August, 2002	University of California-Santa Barbara	Q263064
May 12, 2003	Fairchild Tropical Botanic Garden	Q1923740
May 22, 2003	Botanic Garden, Bonn, Germany	Q163255
May 23, 2003	Fullerton Arboretum, California State University, Fullerton	Q5508289
June 9, 2003	UC Davis Botanical Conservatory, University of California, Davis	Q129421
June 10, 2003	Royal Botanic Gardens, Kew, London	Q18748726
July 2, 2003	Le Conservatoire Botanique, Brest	Q2994486
July 23, 2003	United States Botanic Garden, Washington, DC	Q1848855
July 6, 2004	University of Connecticut, Storrs, CT	Q49206
July 12, 2004	Mast Arboretum, Stephen F. Austin State University, Nacogdoches, Texas	Q6784868
August 4, 2004	Virginia Tech Horticulture Garden, Virginia Tech, Blacksburg, Virginia	Q5638880
August 4, 2004	University of Wisconsin–Madison	Q838330
August 13, 2004	UC Davis Botanical Conservatory, University of California, Davis	Q129421
September 2, 2004	Cambridge University Botanic Garden, University of Cambridge	Q894665
October 7, 2004	Royal Botanical Gardens, Sydney, Australia	Q54489
April 11, 2005	Eden Project, St Austell, UK	Q596642
April 21, 2005	Royal Botanic Gardens, Kew, London	Q18748726
May 14, 2005	Fairchild Tropical Botanic Garden	Q1923740
May 30, 2005	San Francisco Conservatory of Flowers	Q5163145
June 9, 2005	University of Wisconsin–Madison	Q838330
June 18, 2005	Royal Botanic Gardens, Kew, London	Q18748726
June 28, 2005	University of Wisconsin–Madison	Q838330
June 29, 2005	Volunteer Park Conservatory, Seattle	Q7941038
June 29, 2005	Myriad Botanical Gardens, Oklahoma City, Oklahoma	Q14708625
July 14, 2005	University of California Botanical Garden, University of California, Berkeley	Q5796845
July 14, 2005	Botanic Garden, Gothenburg, Sweden	Q956772
August 13, 2005 (est)	The Botanic Garden of Smith College, Northampton, MA	Q7719467
October 20, 2005	Stuttgart Zoological and Botanic Garden, Wilhelma, Stuttgart, Germany	Q679067
November 19, 2005	United States Botanic Garden, Washington, DC	Q1848855
May 13, 2006	Botanic Garden, Bonn, Germany	Q163255
June 5, 2006	Fullerton Arboretum, California State University, Fullerton	Q5508289
August 5, 2006	Virginia Tech Biological Sciences Greenhouse, Blacksburg, VA	Q5638880
August 7, 2006	Brooklyn Botanic Garden, Brooklyn, New York	Q1360424
August 15, 2006	Volunteer Park Conservatory, Seattle, WA	Q7941038
August 21, 2006	Laconia NH Lakeport Fire Station, Laconia, NH	Q993431
November 2, 2006	Royal Botanical Gardens, Sydney, Australia	Q54489
February, 2007	Eden Project, Cornwall	Q596642
April 22, 2007	Royal Botanic Gardens, Kew	Q18748726
May 3, 2007	Gustavus Adolphus College, Saint Peter, Minnesota	Q5621541
May 7, 2007	Botanical Conservatory at the University of California, Davis	Q129421
May 12, 2007	University of Connecticut, Storrs, CT	Q49206
June 1, 2007	University of Connecticut, Storrs, CT	Q49206
July 1, 2007	UNC Charlotte Botanical Gardens, Charlotte, North Carolina	Q7895949
July 2, 2007	United States Botanic Garden, Washington, DC	Q1848855
July 23, 2007	Cleveland Metroparks Zoo, Cleveland, OH	Q2978998
August 7, 2007	University of California Botanical Garden, Berkeley, CA	Q5796845
August 14, 2007	Giardino dei Semplici, Florence	Q1875558
October 4, 2007	Giardino dei Semplici, Florence	Q1875558
April 10, 2008	Como Park Conservatory, St. Paul, MN	Q5155139
June 21, 2008	Eastern Illinois University, Charleston, Illinois	Q624985
July 8, 2008	University of Connecticut, Storrs, CT	Q49206
July 20, 2008	The Botanic Garden of Smith College, Northampton, MA	Q7719467
July 28, 2008	Volunteer Park Conservatory, Seattle	Q7941038
August 5, 2008	National Botanic Garden of Belgium, Meise, Belgium	Q3052500
September 6, 2008	National Botanic Garden of Belgium, Meise, Belgium	Q3052500
November 10, 2008	Milwaukee Public Museum, Milwaukee, Wisconsin	Q6861802
May 1, 2009	Royal Botanic Gardens, Kew	Q18748726
June 7, 2009	University of Missouri–St. Louis	Q6884925
June 17, 2009	The Huntington Library, Art Collections, and Botanical Gardens	Q1400558
June 22, 2009	University of California Botanical Garden, University of California, Berkeley	Q5796845
June 28, 2009	Le Conservatoire Botanique, Brest	Q2994486
