source	source.label	target	target.label	edge
	Rolled-leaf beetle (C. consanguinea)	Q1602492	Heliconia imbricata	inhabit (debris patches on) leaves of and lay eggs and larvae feed on
	Rolled-leaf beetle (C. consanguinea)	Q7493941	SHELTER	interacts with Heliconia imbricata for
	Rolled-leaf beetle (C. consanguinea)	Q182353	REPRODUCTION	interacts with Heliconia imbricata for
	Rolled-leaf beetle (C. consanguinea)	Q2095	FOOD	interacts with Heliconia imbricata for
	Beetle (C. puncticollis)	Q1602492	Heliconia imbricata	live in the bracts of
	Beetle (C. puncticollis)	Q7493941	SHELTER	interacts with Heliconia imbricata for
	Beetle (Gillisius sp. 1)	Q1602492	Heliconia imbricata	live in the bracts and feeds on floral parts of
	Beetle (Gillisius sp. 1)	Q7493941	SHELTER	interacts with Heliconia imbricata for
	Beetle (Gillisius sp. 1)	Q2095	FOOD	interacts with Heliconia imbricata for
Q2749609	Beetle (C. perplexa)	Q1602492	Heliconia imbricata	live in and feed on the immature leaves of plants of
Q2749609	Beetle (C. perplexa)	Q7493941	SHELTER	interacts with Heliconia imbricata for
Q2749609	Beetle (C. perplexa)	Q2095	FOOD	interacts with Heliconia imbricata for
Q644670	Hummingbird (T. ruckeri)	Q1602492	Heliconia imbricata	feed on and pollinate
Q644670	Hummingbird (T. ruckeri)	Q2095	FOOD	interacts with Heliconia imbricata for
Q644670	Hummingbird (T. ruckeri)	Q134624	POLLINATION	interacts with Heliconia imbricata during
	Hummingbird (C. urochyrsia)	Q1602492	Heliconia imbricata	feed on and pollinate
	Hummingbird (C. urochyrsia)	Q2095	FOOD	interacts with Heliconia imbricata for
	Hummingbird (C. urochyrsia)	Q134624	POLLINATION	interacts with Heliconia imbricata during
	Hummingbird (T. furcata)	Q1602492	Heliconia imbricata	feed on and pollinate
	Hummingbird (T. furcata)	Q2095	FOOD	interacts with Heliconia imbricata for
	Hummingbird (T. furcata)	Q134624	POLLINATION	interacts with Heliconia imbricata during
	Hummingbird (A. tzacatl)	Q1602492	Heliconia imbricata	feed on and pollinate
	Hummingbird (A. tzacatl)	Q2095	FOOD	interacts with Heliconia imbricata for
	Hummingbird (A. tzacatl)	Q134624	POLLINATION	interacts with Heliconia imbricata during
	Hummingbird (A. amabilis)	Q1602492	Heliconia imbricata	feed on and pollinate
	Hummingbird (A. amabilis)	Q2095	FOOD	interacts with Heliconia imbricata for
	Hummingbird (A. amabilis)	Q134624	POLLINATION	interacts with Heliconia imbricata during
Q1084570	Hummingbird (F. mellivora)	Q1602492	Heliconia imbricata	feed on and pollinate
Q1084570	Hummingbird (F. mellivora)	Q2095	FOOD	interacts with Heliconia imbricata for
Q1084570	Hummingbird (F. mellivora)	Q134624	POLLINATION	interacts with Heliconia imbricata during
Q1834504	Bat (A. watsoni)	Q1602492	Heliconia imbricata	roost on (also add Ectophylla alba (tent-making bat)
Q1834504	Bat (A. watsoni)	Q7493941	SHELTER	take shelter in
	Beetle (C. puncticollis)	Q1602492	Heliconia imbricata	lay eggs and larvae feeds on
	Beetle (C. puncticollis)	Q2095	FOOD	interacts with Heliconia imbricata for
	Beetle (C. puncticollis)	Q182353	REPRODUCTION	interacts with Heliconia imbricata for
Q5	Humans (Homo sapiens)	Q1602492	Heliconia imbricata	Cultivate the flowers in botanical gardens and commercial nurseries for sale to the public 
	Humans (Homo sapiens)	Q18087981	CULTIVATION	interacts with Heliconia imbricata for
